douban_id,title,rating,rating_count,introduction,introduction_source,source_url,collected_at
1292052,肖申克的救赎,9.7,3324390,希望让人自由。,inq,https://movie.douban.com/subject/1292052/,2026-08-29 14:59:21
1291546,霸王别姬,9.6,2449873,风华绝代。,inq,https://movie.douban.com/subject/1291546/,2026-08-29 14:59:21
1292722,泰坦尼克号,9.5,2527111,失去的才是永恒的。,inq,https://movie.douban.com/subject/1292722/,2026-08-29 14:59:21
1292720,阿甘正传,9.5,2454680,一部美国近现代史。,inq,https://movie.douban.com/subject/1292720/,2026-08-29 14:59:21
1291561,千与千寻,9.4,2566038,最好的宫崎骏，最好的久石让。,inq,https://movie.douban.com/subject/1291561/,2026-08-29 14:59:21
1889243,星际穿越,9.4,2221054,爱是一种力量，让我们超越时空感知它的存在。,inq,https://movie.douban.com/subject/1889243/,2026-08-29 14:59:21
1292063,美丽人生,9.5,1496812,最美的谎言。,inq,https://movie.douban.com/subject/1292063/,2026-08-29 14:59:21
1295644,这个杀手不太冷,9.4,2574508,怪蜀黍和小萝莉不得不说的故事。,inq,https://movie.douban.com/subject/1295644/,2026-08-29 14:59:21
3541415,盗梦空间,9.4,2353522,诺兰给了我们一场无法盗取的梦。,inq,https://movie.douban.com/subject/3541415/,2026-08-29 14:59:21
1292064,楚门的世界,9.4,2047272,如果再也不能见到你，祝你早安，午安，晚安。,inq,https://movie.douban.com/subject/1292064/,2026-08-29 14:59:21
1295124,辛德勒的名单,9.5,1259163,拯救一个人，就是拯救整个世界。,inq,https://movie.douban.com/subject/1295124/,2026-08-29 14:59:21
3011091,忠犬八公的故事,9.4,1557265,永远都不能忘记你所爱的人。,inq,https://movie.douban.com/subject/3011091/,2026-08-29 14:59:21
1292001,海上钢琴师,9.3,1897986,每个人都要走一条自己坚定了的路，就算是粉身碎骨。,inq,https://movie.douban.com/subject/1292001/,2026-08-29 14:59:21
25662329,疯狂动物城,9.3,2352723,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,inq,https://movie.douban.com/subject/25662329/,2026-08-29 14:59:21
3793023,三傻大闹宝莱坞,9.2,2099487,英俊版憨豆，高情商版谢耳朵。,inq,https://movie.douban.com/subject/3793023/,2026-08-29 14:59:21
2131459,机器人总动员,9.3,1519637,小瓦力，大人生。,inq,https://movie.douban.com/subject/2131459/,2026-08-29 14:59:21
1291549,放牛班的春天,9.3,1489262,天籁一般的童声，是最接近上帝的存在。,inq,https://movie.douban.com/subject/1291549/,2026-08-29 14:59:21
1307914,无间道,9.3,1584531,香港电影史上永不过时的杰作。,inq,https://movie.douban.com/subject/1307914/,2026-08-29 14:59:21
1296141,控方证人,9.6,759686,比利·怀德满分作品。,inq,https://movie.douban.com/subject/1296141/,2026-08-29 14:59:21
20495023,寻梦环游记,9.1,2021298,死亡不是真的逝去，遗忘才是永恒的消亡。,inq,https://movie.douban.com/subject/20495023/,2026-08-29 14:59:21
1292213,大话西游之大圣娶亲,9.2,1728139,一生所爱。,inq,https://movie.douban.com/subject/1292213/,2026-08-29 14:59:21
5912992,熔炉,9.3,1045144,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,inq,https://movie.douban.com/subject/5912992/,2026-08-29 14:59:21
6786002,触不可及,9.3,1311968,满满温情的高雅喜剧。,inq,https://movie.douban.com/subject/6786002/,2026-08-29 14:59:21
1291841,教父,9.3,1121154,千万不要记恨你的对手，这样会让你失去理智。,inq,https://movie.douban.com/subject/1291841/,2026-08-29 14:59:21
1295038,哈利·波特与魔法石,9.2,1443729,童话世界的开端。,inq,https://movie.douban.com/subject/1295038/,2026-08-29 14:59:21
1293172,末代皇帝,9.3,1041923,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,inq,https://movie.douban.com/subject/1293172/,2026-08-29 14:59:25
1849031,当幸福来敲门,9.1,1704558,平民励志片。,inq,https://movie.douban.com/subject/1849031/,2026-08-29 14:59:25
1291560,龙猫,9.2,1425570,人人心中都有个龙猫，童年就永远不会消失。,inq,https://movie.douban.com/subject/1291560/,2026-08-29 14:59:25
1292365,活着,9.3,982412,张艺谋最好的电影。,inq,https://movie.douban.com/subject/1292365/,2026-08-29 14:59:25
